speed,rpm,tp,load,timing
41,1529,21,36,26
42,1531,20,32,29
43,1535,19,31,30
44,1500,13,25,29
45,1513,14,22,28
45,1547,13,19,29
45,1482,12,20,0
43,1538,14,20,0
39,1504,14,22,0
34,1509,14,22,0
28,1506,14,24,0
25,1186,15,37,-31
23,1127,14,35,-27
23,1762,22,31,0
25,2276,89,51,-3
33,2453,32,69,5
39,2436,89,75,5
42,1793,30,53,11
44,1438,12,31,28
40,1522,12,23,0
38,1524,14,22,0
37,1548,16,23,29
36,1514,15,22,26
36,1516,16,26,25
35,1518,18,32,26
35,1525,17,31,28
35,1520,17,30,27
35,1517,17,30,29
35,1519,15,26,26
34,1530,14,24,28
34,1527,13,21,28
34,1523,14,21,28
34,1535,13,20,28
33,1522,15,24,24
34,1530,19,29,29
34,1526,21,33,28
35,1512,14,29,31
35,1524,14,20,-2
32,1484,13,23,0
28,1488,14,23,0
23,1178,15,36,-29
17,1135,14,34,-28
15,1397,20,33,-6
17,2065,29,37,10
21,2019,83,39,15
25,1847,89,49,12
28,1532,24,58,13
29,1509,20,40,21
30,1509,13,25,31
30,1500,14,20,8
28,1489,14,20,0
27,1600,18,26,21
27,1718,18,23,26
27,1683,20,28,26
29,1565,22,38,23
30,1529,23,43,22
31,1530,22,43,22
33,1518,21,40,24
33,1512,20,33,30
33,1520,14,23,28
32,1527,15,23,25
32,1524,15,21,28
31,1511,16,23,23
31,1545,20,29,27
30,1528,16,27,29
29,1508,16,27,25
29,1517,16,25,26
28,1519,18,29,24
27,1522,18,29,28
26,1538,20,32,28
25,1511,18,29,28
25,1537,21,32,26
24,1534,22,36,23
24,1524,21,38,27
23,1496,15,26,26
22,1522,16,24,24
20,1519,16,25,24
20,1550,21,34,19
20,1512,21,40,21
20,1499,21,38,24
20,1518,20,34,25
19,1501,20,33,28
18,1487,13,25,29
17,1614,15,22,27
15,1580,13,20,32
13,1458,12,21,14
9,1223,16,31,-18
3,1003,19,57,-14
2,1007,18,59,-13
3,977,18,60,-12
3,999,18,59,-12
4,968,18,60,-14
5,1304,20,53,10
6,1125,15,42,9
6,1002,15,39,7
6,1022,17,51,-13
6,981,18,55,-12
5,988,19,60,6
7,1436,29,61,12
13,2292,89,56,9
19,2305,89,49,11
24,2143,89,52,13
26,1990,89,66,11
29,2155,89,58,9
34,2358,89,58,12
37,2253,89,55,13
39,2172,32,47,15
40,2284,89,49,13
41,2204,89,47,9
44,2477,89,63,7
47,2338,65,64,4
51,2577,36,81,7
53,2327,30,65,11
55,2296,32,51,14
56,2278,89,50,15
57,1817,19,23,11
57,2165,33,40,16
58,1855,23,36,14
58,1869,23,31,15
60,1955,25,34,14
61,1416,23,60,13
62,1585,12,18,35
59,1505,12,16,0
57,1541,13,18,0
56,1528,13,20,0
56,1628,30,38,11
59,2355,89,63,5
65,2401,31,68,7
68,2244,30,60,7
72,2372,24,67,8
73,1840,22,58,33
72,1501,11,15,-21
69,1614,13,14,0
68,1587,13,16,0
67,1551,12,17,0
65,1550,12,16,0
63,1565,12,17,0
62,1555,12,16,0
60,1528,12,18,0
53,1449,13,21,0
38,1569,13,20,0
24,1243,15,27,-36
19,1138,14,34,-25
19,1815,20,26,16
20,1982,32,40,7
24,1900,89,51,8
29,1960,89,55,9
34,2025,89,59,10
38,2215,89,59,11
43,2200,89,62,10
49,2389,89,74,5
55,2465,89,80,4
60,2509,89,80,3
65,2576,89,85,2
70,2512,35,78,3
75,2544,89,78,3
79,2544,30,73,1
83,2528,88,77,3
87,2434,39,63,5
91,2624,59,78,12
94,2282,32,56,8
96,2146,27,45,15
97,1897,17,47,37
96,1845,12,10,0
94,1855,12,10,0
89,1751,12,12,0
82,1608,12,13,0
78,1631,12,13,0
71,1565,12,15,0
64,1553,12,16,0
53,1499,13,18,0
41,1515,13,18,0
29,1485,12,19,0
18,1159,14,34,-23
16,1530,18,27,-3
17,1909,25,34,8
20,2049,33,39,8
24,1996,89,45,11
28,1911,89,56,7
32,1976,89,57,9
37,2223,89,60,9
42,2266,89,66,7
47,2296,89,69,8
52,2316,89,70,8
57,2277,28,67,9
60,2293,84,65,8
64,2331,89,67,8
68,2280,89,67,8
71,2301,33,62,15
72,1785,32,59,12
72,1510,17,51,34
68,1566,12,15,0
58,1538,13,16,0
45,1491,13,19,0
30,1426,13,19,0
18,1125,14,32,-30
16,1534,19,28,-2
18,1843,23,32,10
20,1994,28,35,9
24,1888,89,44,12
28,1843,89,56,12
31,1877,89,54,13
34,1947,89,57,11
37,2098,89,54,12
40,2048,89,54,12
43,2150,89,61,9
47,2279,89,63,9
50,2249,89,64,8
54,2521,89,78,4
57,2447,89,82,3
60,2482,89,81,3
63,2515,89,81,3
65,2380,26,76,21
64,1776,16,39,36
61,1434,13,18,0
54,1519,13,17,0
43,1503,13,21,0
28,1262,14,22,18
17,1131,14,32,-23
13,1477,21,38,-6
14,2072,88,46,4
19,2444,89,44,15
23,2264,89,53,10
28,2159,89,63,11
33,2230,89,67,8
38,2279,89,66,8
43,2298,89,69,8
48,2294,34,69,8
53,2215,89,63,10
57,1996,30,55,13
59,1802,21,53,33
61,1472,13,20,0
62,1556,18,27,20
64,1788,89,60,10
67,1978,89,52,13
70,1910,89,50,11
72,2032,89,51,13
75,1998,89,52,16
76,1595,17,40,27
76,1594,22,40,20
75,1648,11,14,16
73,1575,12,12,0
67,1548,13,16,0
64,1585,13,16,0
62,1542,12,16,0
60,1528,12,17,0
57,1511,12,17,0
49,1509,13,19,0
40,1515,13,19,0
31,1528,13,19,0
26,1148,15,33,-32
28,1729,21,28,19
31,1796,24,34,18
34,1672,30,49,13
37,1647,89,53,13
40,1664,89,52,13
41,1547,22,52,14
42,1502,12,20,30
41,1503,12,20,0
38,1514,14,21,0
34,1480,14,22,0
27,1415,14,23,0
20,1143,15,37,-30
13,1093,14,35,-23
8,993,14,33,-15
5,994,18,52,-13
5,1007,18,60,-13
5,991,18,59,-4
6,1171,16,41,16
8,1018,13,34,9
9,1243,20,42,10
11,1592,23,45,15
13,2002,89,44,12
18,2224,89,43,15
23,2109,89,49,14
27,1822,89,61,11
30,1808,89,61,11
33,1793,89,61,11
35,1698,89,58,13
36,1466,14,43,28
35,1516,14,23,-11
29,1471,13,26,0
22,1180,16,36,-22
17,1139,15,38,-25
14,1054,14,33,-23
11,1024,14,33,-21
11,1649,25,49,3
12,1759,27,43,11
16,1929,25,35,13
20,1971,89,47,12
23,1975,89,49,12
27,1729,89,60,13
27,1780,89,69,12
27,1875,31,51,14
25,1625,18,34,21
23,1593,14,24,27
19,1548,14,22,2
14,1345,16,38,-14
11,1040,15,37,-16
10,1154,16,39,7
11,1644,23,41,12
14,1928,26,36,15
17,1830,24,38,20
19,1608,14,25,32
18,1496,14,24,15
15,1409,14,25,-6
9,1155,15,39,-12
5,966,18,45,-10
3,1029,18,60,-14
0,991,18,56,-13
0,983,17,58,-13
0,1015,16,47,-20
0,971,14,38,-9
0,961,14,35,-9
0,0,10,41,0
