speed_corrected,rpm_corrected,tp_corrected,load_corrected,timing_corrected,outlier_speed,outlier_rpm,outlier_tp,outlier_load,outlier_timing
40,1959,24,29,15,0,0,0,0,0
41,1484,22,29,13,0,0,0,0,0
40,1444,14,17,-2,0,0,0,0,0
39,1424,13,7,-8,0,0,0,0,0
38,1395,12,6,-9,0,0,0,0,0
38,1367,12,6,-9,0,0,0,0,0
38,1348,12,6,-9,0,0,0,0,0
37,1347,12,6,-9,0,0,0,0,0
37,1337,12,6,-9,0,0,0,0,0
36,1300,12,6,-9,0,0,0,0,0
33,1621,13,6,-7,0,0,0,0,0
30,1470,12,7,-9,0,0,0,0,0
25,1243,12,6,18,0,0,0,0,0
19,1168,12,8,0,0,0,0,0,0
17,950,12,7,-7,0,0,0,0,0
15,913,13,8,14,0,0,0,0,0
16,1412,17,21,-3,0,0,0,0,0
18,1551,18,18,15,0,0,0,0,0
19,1676,17,19,17,0,0,0,0,0
21,1788,18,18,18,0,0,0,0,0
23,1913,18,19,18,0,0,0,0,0
24,2000,18,18,19,0,0,0,0,0
25,2068,17,17,18,0,0,0,0,0
25,2140,19,20,20,0,0,0,0,0
27,2304,21,22,20,0,0,0,0,0
29,2134,19,20,11,0,0,0,0,0
30,1620,20,25,15,0,0,0,0,0
31,1577,20,23,15,0,0,0,0,0
33,1647,21,27,15,0,0,0,0,0
34,1676,21,27,15,0,0,0,0,0
36,1753,21,26,16,0,0,0,0,0
37,1823,22,27,16,0,0,0,0,0
39,1896,23,28,15,0,0,0,0,0
40,1511,25,33,12,0,0,0,0,0
42,1581,30,40,8,0,0,0,0,0
44,1643,32,43,7,0,0,0,0,0
47,1718,32,42,8,0,0,0,0,0
49,1759,31,40,9,0,0,0,0,0
51,1832,29,36,11,0,0,0,0,0
52,1415,29,38,6,0,0,0,0,0
54,1485,41,49,5,0,0,0,0,0
55,1527,30,45,7,0,0,0,0,0
56,1541,28,41,9,0,0,0,0,0
57,1571,28,38,11,0,0,0,0,0
57,1580,29,38,11,0,0,0,0,0
58,1616,29,40,9,0,0,0,0,0
59,1633,30,40,9,0,0,0,0,0
60,1665,30,40,9,0,0,0,0,0
61,1674,28,39,9,0,0,0,0,0
61,1672,18,23,0,0,0,0,0,0
60,1591,13,7,-1,0,0,0,0,0
58,1540,13,6,-7,0,0,0,0,0
55,1487,12,6,-9,0,0,0,0,0
53,1419,12,6,-9,0,0,0,0,0
49,1456,12,6,-9,0,0,0,0,0
45,1621,13,7,-7,0,0,0,0,0
41,1817,13,7,-4,0,0,0,0,0
37,1830,13,7,-3,0,0,0,0,0
35,1737,16,10,3,0,0,0,0,0
35,1691,15,12,13,0,0,0,0,0
34,1669,16,12,14,0,0,0,0,0
33,1636,14,12,0,0,0,0,0,0
32,1593,13,7,-7,0,0,0,0,0
31,1532,12,7,-9,0,0,0,0,0
30,1458,12,7,-9,0,0,0,0,0
28,1396,13,7,31,0,0,0,0,0
28,1403,13,8,28,0,0,0,0,0
28,1376,14,9,25,0,0,0,0,0
27,1354,15,10,8,0,0,0,0,0
27,1327,14,12,20,0,0,0,0,0
27,1312,14,12,17,0,0,0,0,0
27,1320,16,17,12,0,0,0,0,0
27,1334,16,16,14,0,0,0,0,0
27,1351,16,16,15,0,0,0,0,0
28,1359,16,16,15,0,0,0,0,0
28,1374,16,17,15,0,0,0,0,0
28,1382,16,16,15,0,0,0,0,0
28,1392,16,16,15,0,0,0,0,0
29,1409,15,16,15,0,0,0,0,0
29,1419,15,16,15,0,0,0,0,0
29,1413,15,16,15,0,0,0,0,0
29,1408,15,16,15,0,0,0,0,0
28,1404,15,17,15,0,0,0,0,0
28,1407,16,18,15,0,0,0,0,0
29,1423,17,20,15,0,0,0,0,0
29,1449,17,21,15,0,0,0,0,0
30,1462,17,21,15,0,0,0,0,0
31,1499,17,21,16,0,0,0,0,0
31,1527,19,22,15,0,0,0,0,0
32,1574,20,25,15,0,0,0,0,0
33,1632,20,25,15,0,0,0,0,0
34,1673,19,24,16,0,0,0,0,0
35,1723,19,23,17,0,0,0,0,0
36,1770,19,22,18,0,0,0,0,0
37,1814,19,22,17,0,0,0,0,0
38,1872,24,27,15,0,0,0,0,0
40,1451,23,30,12,0,0,0,0,0
42,1573,25,32,13,0,0,0,0,0
44,1646,25,33,13,0,0,0,0,0
47,1712,25,32,13,0,0,0,0,0
49,1761,25,32,13,0,0,0,0,0
51,1835,25,32,14,0,0,0,0,0
53,1906,25,32,-7,0,0,0,0,0
55,1526,25,34,12,0,0,0,0,0
56,1555,25,34,12,0,0,0,0,0
58,1579,25,34,12,0,0,0,0,0
58,1609,25,34,12,0,0,0,0,0
60,1634,25,34,12,0,0,0,0,0
61,1670,25,34,13,0,0,0,0,0
61,1686,25,34,13,0,0,0,0,0
62,1697,21,26,15,0,0,0,0,0
62,1705,23,28,15,0,0,0,0,0
62,1707,23,29,15,0,0,0,0,0
62,1716,23,30,15,0,0,0,0,0
63,1717,23,29,15,0,0,0,0,0
63,1670,15,23,-5,0,0,0,0,0
61,1640,13,7,-6,0,0,0,0,0
59,1589,13,7,-7,0,0,0,0,0
57,1529,12,7,-9,0,0,0,0,0
54,1456,12,6,-5,0,0,0,0,0
51,1371,12,5,-6,0,0,0,0,0
47,1256,12,6,-3,0,0,0,0,0
40,1296,12,7,-9,0,0,0,0,0
34,1245,12,6,-9,0,0,0,0,0
28,1111,12,6,-9,0,0,0,0,0
21,985,14,8,-4,0,0,0,0,0
17,964,11,7,-3,0,0,0,0,0
15,1416,21,29,-6,0,0,0,0,0
18,1650,22,29,12,0,0,0,0,0
20,1834,25,32,14,0,0,0,0,0
22,1988,25,33,14,0,0,0,0,0
24,2139,26,32,15,0,0,0,0,0
26,2323,27,33,15,0,0,0,0,0
29,2440,27,32,-7,0,0,0,0,0
30,1715,26,36,11,0,0,0,0,0
31,1671,29,36,11,0,0,0,0,0
32,1626,29,38,11,0,0,0,0,0
34,1695,29,36,11,0,0,0,0,0
35,1756,29,36,11,0,0,0,0,0
36,1789,29,36,11,0,0,0,0,0
37,1830,28,35,12,0,0,0,0,0
38,1860,27,33,12,0,0,0,0,0
39,1895,27,32,12,0,0,0,0,0
39,1917,27,32,12,0,0,0,0,0
40,1943,27,31,13,0,0,0,0,0
40,1982,26,30,13,0,0,0,0,0
42,2039,26,30,13,0,0,0,0,0
43,1546,25,32,11,0,0,0,0,0
44,1635,29,38,9,0,0,0,0,0
45,1679,30,38,9,0,0,0,0,0
47,1729,30,38,9,0,0,0,0,0
49,1764,27,34,12,0,0,0,0,0
51,1819,23,32,15,0,0,0,0,0
52,1869,25,29,-6,0,0,0,0,0
54,1489,25,34,12,0,0,0,0,0
55,1530,24,32,13,0,0,0,0,0
56,1505,15,21,-3,0,0,0,0,0
56,1495,13,7,-6,0,0,0,0,0
56,1498,13,7,-9,0,0,0,0,0
56,1489,13,6,-9,0,0,0,0,0
55,1473,12,6,-9,0,0,0,0,0
53,1417,12,6,-9,0,0,0,0,0
49,1329,12,6,-9,0,0,0,0,0
43,1192,12,6,-9,0,0,0,0,0
36,1305,12,6,-9,0,0,0,0,0
29,1225,12,6,-9,0,0,0,0,0
23,1081,15,8,-8,0,0,0,0,0
18,1009,12,6,-5,0,0,0,0,0
17,1252,21,12,-22,0,0,0,0,0
20,1780,21,28,15,0,0,0,0,0
24,2043,23,28,15,0,0,0,0,0
27,2299,24,28,17,0,0,0,0,0
30,1790,23,27,15,0,0,0,0,0
32,1784,25,32,14,0,0,0,0,0
35,1797,26,33,13,0,0,0,0,0
37,1828,26,34,13,0,0,0,0,0
39,1907,26,35,-1,0,0,0,0,0
40,1509,27,36,12,0,0,0,0,0
41,1541,27,37,12,0,0,0,0,0
42,1571,26,36,12,0,0,0,0,0
43,1608,26,35,12,0,0,0,0,0
45,1651,26,35,12,0,0,0,0,0
46,1695,25,34,12,0,0,0,0,0
47,1726,25,34,12,0,0,0,0,0
48,1739,25,34,13,0,0,0,0,0
49,1747,24,33,12,0,0,0,0,0
48,1741,14,17,6,0,0,0,0,0
47,1700,13,7,-5,0,0,0,0,0
45,1633,13,7,-6,0,0,0,0,0
43,1562,12,7,-8,0,0,0,0,0
41,1496,12,7,-9,0,0,0,0,0
38,1374,12,6,-8,0,0,0,0,0
32,1172,13,6,7,0,0,0,0,0
