speed,rpm,tp,load,timing
36,1788,25,32,14
37,1811,25,32,15
37,1828,24,31,15
37,1843,24,30,15
38,1856,24,30,15
38,1861,24,31,15
38,1862,24,30,15
38,1869,24,31,15
38,1866,24,30,15
38,1876,24,30,15
39,1897,24,30,15
39,1920,24,30,15
40,1959,24,29,15
41,1484,22,29,13
40,1444,14,17,-2
39,1424,13,7,-8
38,1395,12,6,-9
38,1367,12,6,-9
38,1348,12,6,-9
37,1347,12,6,-9
37,1337,12,6,-9
36,1300,12,6,-9
33,1621,13,6,-7
30,1470,12,7,-9
25,1243,12,6,18
19,1168,12,8,0
17,950,12,7,-7
15,913,13,8,14
16,1412,17,21,-3
18,1551,18,18,15
19,1676,17,19,17
21,1788,18,18,18
23,1913,18,19,18
24,2000,18,18,19
25,2068,17,17,18
25,2140,19,20,20
27,2304,21,22,20
29,2134,19,20,11
30,1620,20,25,15
31,1577,20,23,15
33,1647,21,27,15
34,1676,21,27,15
36,1753,21,26,16
37,1823,22,27,16
39,1896,23,28,15
40,1511,25,33,12
42,1581,30,40,8
44,1643,32,43,7
47,1718,32,42,8
49,1759,31,40,9
51,1832,29,36,11
52,1415,29,38,6
54,1485,41,49,5
55,1527,30,45,7
56,1541,28,41,9
57,1571,28,38,11
57,1580,29,38,11
58,1616,29,40,9
59,1633,30,40,9
60,1665,30,40,9
61,1674,28,39,9
61,1672,18,23,0
60,1591,13,7,-1
58,1540,13,6,-7
55,1487,12,6,-9
53,1419,12,6,-9
49,1456,12,6,-9
45,1621,13,7,-7
41,1817,13,7,-4
37,1830,13,7,-3
35,1737,16,10,3
35,1691,15,12,13
34,1669,16,12,14
33,1636,14,12,0
32,1593,13,7,-7
31,1532,12,7,-9
30,1458,12,7,-9
28,1396,13,7,31
28,1403,13,8,28
28,1376,14,9,25
27,1354,15,10,8
27,1327,14,12,20
27,1312,14,12,17
27,1320,16,17,12
27,1334,16,16,14
27,1351,16,16,15
28,1359,16,16,15
28,1374,16,17,15
28,1382,16,16,15
28,1392,16,16,15
29,1409,15,16,15
29,1419,15,16,15
29,1413,15,16,15
29,1408,15,16,15
28,1404,15,17,15
28,1407,16,18,15
29,1423,17,20,15
29,1449,17,21,15
30,1462,17,21,15
31,1499,17,21,16
31,1527,19,22,15
32,1574,20,25,15
33,1632,20,25,15
34,1673,19,24,16
35,1723,19,23,17
36,1770,19,22,18
37,1814,19,22,17
38,1872,24,27,15
40,1451,23,30,12
42,1573,25,32,13
44,1646,25,33,13
47,1712,25,32,13
49,1761,25,32,13
51,1835,25,32,14
53,1906,25,32,-7
55,1526,25,34,12
56,1555,25,34,12
58,1579,25,34,12
58,1609,25,34,12
60,1634,25,34,12
61,1670,25,34,13
61,1686,25,34,13
62,1697,21,26,15
62,1705,23,28,15
62,1707,23,29,15
62,1716,23,30,15
63,1717,23,29,15
63,1670,15,23,-5
61,1640,13,7,-6
59,1589,13,7,-7
57,1529,12,7,-9
54,1456,12,6,-5
51,1371,12,5,-6
47,1256,12,6,-3
40,1296,12,7,-9
34,1245,12,6,-9
28,1111,12,6,-9
21,985,14,8,-4
17,964,11,7,-3
15,1416,21,29,-6
18,1650,22,29,12
20,1834,25,32,14
22,1988,25,33,14
24,2139,26,32,15
26,2323,27,33,15
29,2440,27,32,-7
30,1715,26,36,11
31,1671,29,36,11
32,1626,29,38,11
34,1695,29,36,11
35,1756,29,36,11
36,1789,29,36,11
37,1830,28,35,12
38,1860,27,33,12
39,1895,27,32,12
39,1917,27,32,12
40,1943,27,31,13
40,1982,26,30,13
42,2039,26,30,13
43,1546,25,32,11
44,1635,29,38,9
45,1679,30,38,9
47,1729,30,38,9
49,1764,27,34,12
51,1819,23,32,15
52,1869,25,29,-6
54,1489,25,34,12
55,1530,24,32,13
56,1505,15,21,-3
56,1495,13,7,-6
56,1498,13,7,-9
56,1489,13,6,-9
55,1473,12,6,-9
53,1417,12,6,-9
49,1329,12,6,-9
43,1192,12,6,-9
36,1305,12,6,-9
29,1225,12,6,-9
23,1081,15,8,-8
18,1009,12,6,-5
17,1252,21,12,-22
20,1780,21,28,15
24,2043,23,28,15
27,2299,24,28,17
30,1790,23,27,15
32,1784,25,32,14
35,1797,26,33,13
37,1828,26,34,13
39,1907,26,35,-1
40,1509,27,36,12
41,1541,27,37,12
42,1571,26,36,12
43,1608,26,35,12
45,1651,26,35,12
46,1695,25,34,12
47,1726,25,34,12
48,1739,25,34,13
49,1747,24,33,12
48,1741,14,17,6
47,1700,13,7,-5
45,1633,13,7,-6
43,1562,12,7,-8
41,1496,12,7,-9
38,1374,12,6,-8
32,1172,13,6,7
26,1297,12,6,-9
22,1082,11,7,-9
17,1468,20,22,-18
19,1701,22,27,13
21,1861,24,30,15
22,1976,25,31,15
24,2114,25,31,15
25,2213,25,29,15
27,2310,24,28,17
28,2404,25,29,18
29,2499,25,29,18
31,2585,23,26,18
31,2616,22,21,19
32,2293,23,25,10
33,1794,22,27,15
33,1745,21,27,15
34,1693,20,26,15
35,1705,17,18,14
34,1712,13,7,-5
34,1639,12,7,24
33,1626,13,6,-7
32,1566,12,7,-8
31,1520,12,7,-9
30,1463,12,7,-9
28,1376,12,6,-11
24,1217,12,5,10
20,1233,12,7,-6
19,1178,12,6,31
18,1447,17,17,-15
18,1616,19,23,14
19,1710,20,23,17
20,1806,21,25,17
22,1927,21,25,17
23,2024,21,25,18
25,2148,21,24,19
26,2239,20,21,20
28,2334,21,23,19
28,2404,22,23,3
29,1672,23,29,14
30,1639,23,30,14
32,1590,23,30,14
33,1671,22,30,15
35,1721,21,27,16
35,1715,13,10,9
34,1675,13,7,-5
34,1660,13,7,-6
33,1638,12,7,-6
31,1553,12,7,-9
30,1456,12,6,-9
29,1442,12,6,-9
30,1455,13,5,29
31,1496,16,12,15
32,1551,16,15,16
32,1596,16,14,15
34,1606,12,11,2
32,1591,13,7,-7
31,1539,12,7,-9
30,1478,12,7,-9
27,1314,12,6,-10
24,1215,12,6,3
21,1531,13,7,8
21,1543,13,7,7
20,1387,12,6,-3
19,1208,12,6,-4
16,1023,12,6,0
13,907,12,8,5
11,854,13,11,-4
10,828,15,12,-6
10,842,14,13,-9
8,831,15,15,2
8,847,15,18,-6
9,877,14,16,-4
10,1070,17,25,-3
11,1211,20,26,11
12,1270,20,25,12
14,1394,21,28,14
16,1534,20,25,15
18,1628,19,23,16
20,1717,18,21,18
20,1760,18,20,18
21,1817,17,18,18
22,1850,17,18,18
22,1864,17,17,18
22,1858,17,15,12
21,1645,13,9,-4
20,1507,13,8,28
18,1372,12,7,0
17,1343,14,11,1
15,1248,14,9,2
14,1049,13,9,-3
12,1061,16,23,-9
12,1202,18,26,3
12,1243,18,22,12
13,1351,21,27,12
16,1510,20,25,15
18,1600,20,24,15
19,1717,20,24,17
20,1807,20,25,17
19,1748,21,26,16
19,1732,21,26,16
18,1673,21,26,15
17,1611,21,26,15
16,1490,17,24,-6
14,1192,13,10,0
13,972,13,9,-5
12,896,13,9,-2
11,858,14,10,0
12,1111,16,19,3
12,1145,16,17,12
13,1169,16,17,13
13,1207,16,17,14
14,1183,14,16,-2
13,966,13,9,0
12,888,12,10,0
11,859,12,10,0
10,847,13,10,-3
10,837,14,12,-8
9,832,14,16,-4
8,846,15,19,-11
7,865,16,21,-12
5,867,19,25,-13
3,926,20,26,-13
1,966,20,27,-21
0,950,14,26,-18
0,942,17,21,-11
1,972,17,26,-15
2,960,15,22,-8
3,920,18,24,-12
2,934,20,27,-14
2,943,19,27,-13
1,936,16,27,-11
0,981,17,25,-9
0,1023,10,14,-9
